veg,veg_roasted,cheese_soft,cheese_hard,starch,fish,fish_rich,meat_white,meat_red,meat_cured,sweet,asparagus,green_beans,artichoke,chocolate
white_dry,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
white_sweet,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
white_rich,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0
sparkling,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
red_light,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0
red_med,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0
red_bold,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
dessert,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
